Order ID,Customer ID,Customer Name,Order Date,Ship Date,Ship Mode,City,State,Postal Code,Region,Category,Sub-Category,Product Name,Sales,Quantity,Discount,Profit
4332181960016,bdd640fb-0667-4ad1-9c80-317fa3b1799d,Jonathan Johnson,2022-08-08,2022-08-12,Same Day,Robinsonshire,Louisiana,01352,South,Office Supplies,Phones,Virtual cohesive standardization,873.29,10,0.06,791.2089193002371
3511615594077,27cd8130-4722-4389-971a-a8766c307511,Valerie Gray,2024-02-08,2024-02-15,Same Day,Mariastad,Oregon,25704,West,Office Supplies,Chairs,Triple-buffered asymmetric analyzer,1404.01,2,0.16,1130.701099856236
1316475255340,4a15544d-c5e7-4e8a-ba57-8a8ea9488d99,Melinda Jones,2024-06-16,2024-06-22,Standard Class,New Jessica,Hawaii,61090,West,Office Supplies,Bookcases,Multi-tiered encompassing productivity,249.05,8,0.43,124.19355291212041
5030564139538,af42e12f-3838-4326-8e94-4239b02b61c4,Jennifer Rocha,2023-09-16,2023-09-24,First Class,West Donald,West Virginia,74080,East,Office Supplies,Tables,Public-key empowering synergy,1849.95,5,0.45,990.6537699788022
6532871012263,956269f0-e5d7-4875-adad-d6c795a76d79,Janice Carlson,2023-10-01,2023-10-07,Standard Class,Tashatown,Utah,94967,Central,Office Supplies,Bookcases,Customizable systemic monitoring,1797.21,8,0.39,1076.7001753834443
5146270482810,a4161293-c4c2-42e3-844e-a7c8c0398710,Elizabeth Fowler,2024-05-07,2024-05-14,Standard Class,East Nathaniel,Hawaii,71198,South,Technology,Phones,Vision-oriented multi-tasking ability,150.07,2,0.14,121.76530961748422
1543039117183,04fc6d82-7d15-4385-92fb-e43b99546eb4,Betty Alvarez,2024-02-05,2024-02-14,First Class,West Allison,Rhode Island,55962,South,Technology,Phones,Extended needs-based system engine,1515.09,7,0.04,1409.6797438211443
4657871331502,b683d2e6-337e-42df-b09b-2a5cbadcc32a,Crystal Robinson,2022-01-22,2022-01-23,First Class,East Carloston,Michigan,09788,Central,Furniture,Phones,Profound disintermediate focus group,496.77,7,0.1,421.44140026198
2997376311657,8a0b3c33-36d8-493a-bc44-1fe7ab4220a7,John Daniel,2024-08-15,2024-08-19,Same Day,North Richardmouth,Connecticut,33092,West,Office Supplies,Binders,Ergonomic content-based monitoring,472.14,1,0.23,341.0942735812328
4731781080139,2ef91276-6c00-4f61-a3e2-fcb472d8567d,John Lewis,2023-06-18,2023-06-23,Standard Class,East Nicholasfurt,Kentucky,60139,South,Office Supplies,Binders,Horizontal interactive standardization,1823.74,5,0.21,1399.9465246917334
8723430980507,c88a618e-fed4-457d-bb02-6576f512c4c3,John Calhoun,2024-01-07,2024-01-17,First Class,North Susan,Colorado,24857,South,Furniture,Tables,Cloned radical architecture,450.56,3,0.4,249.8871115466706
1939909169985,675dd5af-3c36-4296-9ca0-2eecacdabacc,Dean Santiago,2023-02-04,2023-02-05,Same Day,West Randy,Texas,85108,East,Office Supplies,Phones,Innovative logistical functionalities,1488.57,5,0.05,1383.9288904613957
0799118384255,12922f83-ef8c-485b-807a-30f2edd4253b,Sherry Wood,2022-06-06,2022-06-12,First Class,Bassport,South Carolina,86218,West,Office Supplies,Tables,Progressive 24/7 secured line,938.94,2,0.05,864.5814965813129
1241182449358,ee87905e-4ca4-45ea-8dfa-6a56d12dbc9a,Mark Baker,2023-11-01,2023-11-05,Second Class,Rebeccaton,Colorado,83637,South,Office Supplies,Bookcases,Optimized even-keeled analyzer,1458.46,3,0.35,922.3829781294389
4278680112801,217d65a0-c568-41cd-9563-f61600e85ece,Lauren Hernandez,2022-04-19,2022-04-21,First Class,West Michaelton,Minnesota,28036,West,Furniture,Bookcases,Synergized dynamic secured line,1157.75,10,0.4,679.3632878297143
